Respondent,LanguageWorkedWith,DatabaseWorkedWith,PlatformWorkedWith,WebFrameWorkedWith,MiscTechWorkedWith
8,Bash/Shell/PowerShell;C;C++;HTML/CSS;Java;JavaScript;Python;SQL,Cassandra;Elasticsearch;MongoDB;MySQL;Oracle;Redis;SQLite,AWS;Docker;Heroku;Linux;MacOS;Slack,Express;Flask;React.js;Spring,Hadoop;Node.js;Pandas
10,C#;Go;JavaScript;Python;R;SQL,Elasticsearch;MongoDB;Microsoft SQL Server;MySQL;SQLite,Linux;Windows,Angular/Angular.js;ASP.NET;Django;Express;Flask;jQuery,.NET;Node.js;Pandas;Torch/PyTorch
15,Assembly;Bash/Shell/PowerShell;C;C++;HTML/CSS;Java;JavaScript;PHP;SQL,MariaDB;MySQL;Oracle;SQLite,Linux;Windows,,
50,Bash/Shell/PowerShell;C;C++;HTML/CSS;Java;JavaScript;PHP;Python;SQL,Elasticsearch;Firebase;MariaDB;MongoDB;MySQL;Oracle;SQLite;Other(s):,Arduino;AWS;Heroku;Linux;MacOS;Raspberry Pi;WordPress,Django;Express;Flask;jQuery,Node.js
65,Assembly;C;C++;C#;HTML/CSS;Java,Firebase;MySQL;Oracle;SQLite,Android,ASP.NET,
68,HTML/CSS;Java;JavaScript;Python,Elasticsearch;Firebase,AWS;Google Cloud Platform;Linux;MacOS,Express;jQuery;React.js;Vue.js,Node.js;TensorFlow
75,HTML/CSS;JavaScript,MongoDB,Heroku,Express;React.js,
78,HTML/CSS;Java;JavaScript;Kotlin;Python,MongoDB,Android;Raspberry Pi,Express;jQuery;React.js;Vue.js,Cordova;Node.js;React Native
83,HTML/CSS;JavaScript,DynamoDB;Elasticsearch;MongoDB,AWS;Docker;Google Cloud Platform;Linux;MacOS;Slack;Windows,Express;React.js,Node.js;React Native
89,Bash/Shell/PowerShell;Python,,Linux;Raspberry Pi,,
90,Bash/Shell/PowerShell;C#;HTML/CSS;Java;JavaScript;Objective-C;PHP;Python;Ruby;SQL;Swift;TypeScript,DynamoDB;Firebase;MySQL;SQLite,Android;Docker;Google Cloud Platform;iOS,React.js;Ruby on Rails,.NET;.NET Core;Node.js
